,FILE,LOC,COM,BLK,NOF,NOC,APF,AMC,NER,NEH,CYC,MAD,BUG
408,./scikit-learn/sklearn/covariance/__init__.py,42,0,2,0,0,0.0,0.0,0,0,1,3,1
414,./scikit-learn/sklearn/covariance/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
415,./scikit-learn/sklearn/covariance/tests/test_robust_covariance.py,142,45,29,8,0,1.25,0.0,0,0,6,10,0
416,./scikit-learn/sklearn/covariance/tests/test_graphical_lasso.py,274,18,44,12,0,1.0,0.0,0,0,11,10,1
417,./scikit-learn/sklearn/covariance/tests/test_elliptic_envelope.py,45,0,7,2,0,0.5,0.0,0,0,3,10,0
418,./scikit-learn/sklearn/covariance/tests/test_covariance.py,318,59,59,10,0,0.3,0.0,0,0,8,10,0
419,./scikit-learn/sklearn/externals/__init__.py,3,0,2,0,0,0.0,0.0,0,0,1,2,0
421,./scikit-learn/sklearn/externals/conftest.py,6,4,0,1,0,2.0,0.0,0,0,1,3,0
422,./scikit-learn/sklearn/externals/_scipy/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
423,./scikit-learn/sklearn/externals/_scipy/sparse/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
424,./scikit-learn/sklearn/externals/_scipy/sparse/csgraph/__init__.py,1,0,0,0,0,0.0,0.0,0,0,1,2,0
426,./scikit-learn/sklearn/externals/_packaging/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
429,./scikit-learn/sklearn/preprocessing/__init__.py,61,0,2,0,0,0.0,0.0,0,0,1,3,1
437,./scikit-learn/sklearn/preprocessing/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
442,./scikit-learn/sklearn/preprocessing/tests/test_common.py,165,18,22,3,0,3.0,0.0,0,0,13,12,0
445,./scikit-learn/sklearn/preprocessing/tests/test_discretization.py,422,36,78,23,0,1.26,0.0,0,0,21,14,0
447,./scikit-learn/sklearn/feature_extraction/__init__.py,17,0,2,0,0,0.0,0.0,0,0,1,3,1
451,./scikit-learn/sklearn/feature_extraction/_stop_words.py,325,3,0,0,0,0.0,0.0,0,0,1,4,0
452,./scikit-learn/sklearn/feature_extraction/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
453,./scikit-learn/sklearn/feature_extraction/tests/test_image.py,278,22,78,26,0,0.81,0.0,0,0,8,11,0
454,./scikit-learn/sklearn/feature_extraction/tests/test_feature_hasher.py,120,6,40,10,0,0.1,0.0,0,0,6,9,0
456,./scikit-learn/sklearn/feature_extraction/tests/test_dict_vectorizer.py,202,9,60,13,1,0.54,0.0,0,0,15,11,0
458,./scikit-learn/sklearn/cluster/__init__.py,54,0,2,0,0,0.0,0.0,0,0,1,3,1
469,./scikit-learn/sklearn/cluster/tests/test_affinity_propagation.py,251,39,70,18,0,0.83,0.0,0,0,13,9,0
470,./scikit-learn/sklearn/cluster/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
471,./scikit-learn/sklearn/cluster/tests/test_feature_agglomeration.py,61,6,20,3,0,0.0,0.0,0,0,5,8,1
472,./scikit-learn/sklearn/cluster/tests/test_bisect_k_means.py,112,10,46,9,0,1.0,0.0,0,0,4,9,0
473,./scikit-learn/sklearn/cluster/tests/common.py,30,4,7,1,0,5.0,0.0,0,0,2,11,0
475,./scikit-learn/sklearn/cluster/tests/test_optics.py,755,57,103,23,0,1.04,0.0,0,0,16,11,0
478,./scikit-learn/sklearn/cluster/tests/test_birch.py,194,21,48,15,0,1.4,0.0,0,0,7,9,0
480,./scikit-learn/sklearn/cluster/tests/test_dbscan.py,350,56,84,18,0,0.5,0.0,0,0,10,11,0
481,./scikit-learn/sklearn/cluster/tests/test_mean_shift.py,169,25,46,12,0,1.0,0.0,0,0,4,10,1
483,./scikit-learn/sklearn/cluster/_hdbscan/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
485,./scikit-learn/sklearn/cluster/_hdbscan/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
486,./scikit-learn/sklearn/cluster/_hdbscan/tests/test_reachibility.py,48,0,15,4,0,0.75,0.0,0,0,2,8,0
487,./scikit-learn/sklearn/svm/__init__.py,21,6,4,0,0,0.0,0.0,0,0,1,3,1
491,./scikit-learn/sklearn/svm/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
493,./scikit-learn/sklearn/svm/tests/test_sparse.py,415,37,78,19,0,1.63,0.0,0,0,13,13,0
494,./scikit-learn/sklearn/svm/tests/test_bounds.py,113,13,29,8,0,1.88,0.0,0,0,7,10,0
503,./scikit-learn/sklearn/utils/stats.py,56,4,13,1,0,3.0,0.0,0,0,7,10,0
506,./scikit-learn/sklearn/utils/metadata_routing.py,20,16,2,0,0,0.0,0.0,0,0,1,2,1
507,./scikit-learn/sklearn/utils/_missing.py,52,0,13,2,0,1.0,0.0,0,0,5,8,0
526,./scikit-learn/sklearn/utils/_user_interface.py,43,2,11,2,0,2.5,0.0,0,0,3,10,0
528,./scikit-learn/sklearn/utils/_arpack.py,24,0,6,1,0,2.0,0.0,0,0,1,6,0
531,./scikit-learn/sklearn/utils/_joblib.py,36,3,4,0,0,0.0,0.0,0,0,2,6,0
532,./scikit-learn/sklearn/utils/_chunking.py,150,0,25,4,0,1.75,0.0,0,0,13,11,0
535,./scikit-learn/sklearn/utils/tests/test_seq_dataset.py,147,9,38,10,0,1.1,0.0,0,0,13,10,0
537,./scikit-learn/sklearn/utils/tests/test_graph.py,60,6,20,5,0,0.0,0.0,0,0,3,8,0
